month,route,flights
2020-05-01,Brisbane - Newcastle,0
2020-06-01,Brisbane - Newcastle,0
2020-07-01,Brisbane - Newcastle,105
2020-08-01,Brisbane - Newcastle,72
2020-09-01,Brisbane - Newcastle,na
2019-10-01,Brisbane - Perth,527
2019-11-01,Brisbane - Perth,502
2019-12-01,Brisbane - Perth,530
2020-01-01,Brisbane - Perth,513
2020-02-01,Brisbane - Perth,484
2020-03-01,Brisbane - Perth,464
2020-04-01,Brisbane - Perth,48
2020-05-01,Brisbane - Perth,0
2020-06-01,Brisbane - Perth,na
2020-07-01,Brisbane - Perth,92
2020-08-01,Brisbane - Perth,104
2020-09-01,Brisbane - Perth,88
2019-10-01,Brisbane - Proserpine,154
2019-11-01,Brisbane - Proserpine,144
2019-12-01,Brisbane - Proserpine,166
2020-01-01,Brisbane - Proserpine,174
2020-02-01,Brisbane - Proserpine,123
2020-03-01,Brisbane - Proserpine,118
2020-04-01,Brisbane - Proserpine,0
2020-05-01,Brisbane - Proserpine,0
2020-06-01,Brisbane - Proserpine,24
2020-07-01,Brisbane - Proserpine,126
2020-08-01,Brisbane - Proserpine,117
2020-09-01,Brisbane - Proserpine,138
2019-10-01,Brisbane - Rockhampton,696
2019-11-01,Brisbane - Rockhampton,649
2019-12-01,Brisbane - Rockhampton,632
2020-01-01,Brisbane - Rockhampton,648
2020-02-01,Brisbane - Rockhampton,622
2020-03-01,Brisbane - Rockhampton,557
2020-04-01,Brisbane - Rockhampton,128
2020-05-01,Brisbane - Rockhampton,85
2020-06-01,Brisbane - Rockhampton,149
2020-07-01,Brisbane - Rockhampton,263
2020-08-01,Brisbane - Rockhampton,326
2020-09-01,Brisbane - Rockhampton,350
2019-10-01,Brisbane - Sydney,3107
2019-11-01,Brisbane - Sydney,2894
2019-12-01,Brisbane - Sydney,2878
2020-01-01,Brisbane - Sydney,2689
2020-02-01,Brisbane - Sydney,2596
2020-03-01,Brisbane - Sydney,2252
2020-04-01,Brisbane - Sydney,424
2020-05-01,Brisbane - Sydney,353
2020-06-01,Brisbane - Sydney,489
2020-07-01,Brisbane - Sydney,939
2020-08-01,Brisbane - Sydney,421
2020-09-01,Brisbane - Sydney,362
2019-10-01,Brisbane - Townsville,749
2019-11-01,Brisbane - Townsville,714
2019-12-01,Brisbane - Townsville,729
2020-01-01,Brisbane - Townsville,705
2020-02-01,Brisbane - Townsville,666
2020-03-01,Brisbane - Townsville,599
2020-04-01,Brisbane - Townsville,91
2020-05-01,Brisbane - Townsville,82
2020-06-01,Brisbane - Townsville,148
2020-07-01,Brisbane - Townsville,314
2020-08-01,Brisbane - Townsville,381
2020-09-01,Brisbane - Townsville,421
2019-10-01,Canberra - Melbourne,977
2019-11-01,Canberra - Melbourne,936
2019-12-01,Canberra - Melbourne,852
2020-01-01,Canberra - Melbourne,699
2020-02-01,Canberra - Melbourne,900
2020-03-01,Canberra - Melbourne,764
2020-04-01,Canberra - Melbourne,98
2020-05-01,Canberra - Melbourne,70
2020-06-01,Canberra - Melbourne,117
2020-07-01,Canberra - Melbourne,90
2020-08-01,Canberra - Melbourne,na
2020-09-01,Canberra - Melbourne,na
2019-10-01,Canberra - Sydney,1493
2019-11-01,Canberra - Sydney,1427
2019-12-01,Canberra - Sydney,1178
2020-01-01,Canberra - Sydney,914
2020-02-01,Canberra - Sydney,1298
2020-03-01,Canberra - Sydney,1071
2020-04-01,Canberra - Sydney,na
2020-05-01,Canberra - Sydney,na
2020-06-01,Canberra - Sydney,na
2020-07-01,Canberra - Sydney,na
2020-08-01,Canberra - Sydney,na
2020-09-01,Canberra - Sydney,na
2019-10-01,Coffs Harbour - Sydney,426
2019-11-01,Coffs Harbour - Sydney,384
2019-12-01,Coffs Harbour - Sydney,408
2020-01-01,Coffs Harbour - Sydney,398
2020-02-01,Coffs Harbour - Sydney,373
2020-03-01,Coffs Harbour - Sydney,357
2020-04-01,Coffs Harbour - Sydney,na
2020-05-01,Coffs Harbour - Sydney,na
2020-06-01,Coffs Harbour - Sydney,na
2020-07-01,Coffs Harbour - Sydney,na
2020-08-01,Coffs Harbour - Sydney,na
2020-09-01,Coffs Harbour - Sydney,na
2019-10-01,Cairns - Melbourne,479
2019-11-01,Cairns - Melbourne,390
2019-12-01,Cairns - Melbourne,413
2020-01-01,Cairns - Melbourne,366
2020-02-01,Cairns - Melbourne,305
2020-03-01,Cairns - Melbourne,253
2020-04-01,Cairns - Melbourne,0
2020-05-01,Cairns - Melbourne,0
2020-06-01,Cairns - Melbourne,0
2020-07-01,Cairns - Melbourne,na
2020-08-01,Cairns - Melbourne,na
2020-09-01,Cairns - Melbourne,na
2019-10-01,Cairns - Sydney,590
2019-11-01,Cairns - Sydney,504
2019-12-01,Cairns - Sydney,568
2020-01-01,Cairns - Sydney,585
2020-02-01,Cairns - Sydney,453
2020-03-01,Cairns - Sydney,362
2020-04-01,Cairns - Sydney,0
2020-05-01,Cairns - Sydney,0
2020-06-01,Cairns - Sydney,0
2020-07-01,Cairns - Sydney,194
2020-08-01,Cairns - Sydney,na
2020-09-01,Cairns - Sydney,na
2019-10-01,Cairns - Townsville,338
2019-11-01,Cairns - Townsville,324
2019-12-01,Cairns - Townsville,317
2020-01-01,Cairns - Townsville,330
2020-02-01,Cairns - Townsville,311
2020-03-01,Cairns - Townsville,320
2020-04-01,Cairns - Townsville,98
2020-05-01,Cairns - Townsville,na
2020-06-01,Cairns - Townsville,na
2020-07-01,Cairns - Townsville,na
2020-08-01,Cairns - Townsville,na
2020-09-01,Cairns - Townsville,na
2019-10-01,Dubbo - Sydney,531
2019-11-01,Dubbo - Sydney,508
2019-12-01,Dubbo - Sydney,429
2020-01-01,Dubbo - Sydney,370
2020-02-01,Dubbo - Sydney,473
2020-03-01,Dubbo - Sydney,449
2020-04-01,Dubbo - Sydney,70
2020-05-01,Dubbo - Sydney,58
2020-06-01,Dubbo - Sydney,na
2020-07-01,Dubbo - Sydney,na
2020-08-01,Dubbo - Sydney,na
2020-09-01,Dubbo - Sydney,na
2019-10-01,Darwin - Melbourne,182
2019-11-01,Darwin - Melbourne,155
2019-12-01,Darwin - Melbourne,167
2020-01-01,Darwin - Melbourne,166
2020-02-01,Darwin - Melbourne,140
2020-03-01,Darwin - Melbourne,126
